,mean,SD,n,help_prop,SD_prop
Q1,3.730769230769231,1.8913742331748757,104,0.9615384615384616,0.1932389698720778
Q2,0.06796116504854369,2.9481204910670815,103,0.5533980582524272,0.499571489708456
Q3,2.154639175257732,2.8843695375013896,97,0.7835051546391752,0.4139948702306825
Q4,-2.30188679245283,2.5899800011022505,106,0.22641509433962265,0.42049899763029913
Q5,3.099009900990099,2.504016575404602,101,0.8910891089108911,0.3130811428051808
Q6,2.1401869158878504,2.5640791429917495,107,0.822429906542056,0.38394880044260066
Q7,2.69811320754717,2.289395059714017,106,0.8962264150943396,0.3064153820277575
Q8,-0.43137254901960786,3.0750023872535808,102,0.45098039215686275,0.500048531909845
Q9,3.1116279069767443,2.3415396826017854,215,0.8976744186046511,0.30378328792870957
Q10,-1.1495327102803738,3.0306725647411437,107,0.37383177570093457,0.4860965911852412
Q11,-0.47572815533980584,3.0416863878839844,103,0.5242718446601942,0.5018526499269688
Q12,3.297029702970297,2.1979288180259413,101,0.9306930693069307,0.2552420710844612
Q13,2.7450980392156863,2.1372985378271556,102,0.9313725490196079,0.2540680473895316
Q14,1.1153846153846154,3.3654662318066597,104,0.6826923076923077,0.46768222297605744
Q15,0.009523809523809525,3.1271000269826,105,0.5333333333333333,0.5012804118276031
Q16,0.514018691588785,2.8129232963849975,107,0.616822429906542,0.4884488311217753
Q17,0.5514018691588785,2.6960265831363026,107,0.6635514018691588,0.47471789504935635
Q18,3.1132075471698113,1.9679370620839098,106,0.9339622641509434,0.2495278560469677
Q19,-0.4339622641509434,2.838573981100632,106,0.4716981132075472,0.5015698625755192
Q20,0.8476190476190476,3.1948906096024645,105,0.6285714285714286,0.4855041562276122
Q21,-1.3529411764705883,2.74906666006047,102,0.3235294117647059,0.47013300637249317
Q22,2.269230769230769,2.673969338623469,104,0.8461538461538461,0.3625484438800155
Q23,3.407766990291262,1.886156446653516,103,0.9514563106796117,0.21596299504635683
Q24,2.849056603773585,1.965378687999259,106,0.9339622641509434,0.2495278560469677
Q25,0.1588785046728972,2.972038029894194,107,0.5887850467289719,0.49436963918878424
Q26,0.580952380952381,2.878237148716048,105,0.6285714285714286,0.4855041562276123
Q27,2.262135922330097,2.4573266402003036,103,0.8058252427184466,0.39749836421378715
Q28,3.823529411764706,1.8098288563357015,102,0.9509803921568627,0.216975199586239
Q29,-0.4666666666666667,3.1041741954821798,105,0.41904761904761906,0.4957696499257954
Q30,-1.4660194174757282,2.9797207856447856,103,0.34951456310679613,0.47914830206739956
Q31,-0.009523809523809525,3.3296316442583986,105,0.5238095238095238,0.5018281596637457
Q32,2.4174757281553396,2.6661431048947186,103,0.8252427184466019,0.38161638848608825
Q33,-0.19069767441860466,3.228944299097897,215,0.4697674418604651,0.5002498832223613
Q34,3.6226415094339623,2.072278847704022,106,0.9245283018867925,0.26540582429993326
Q35,0.8252427184466019,3.291186044234675,103,0.6310679611650486,0.4848749841329817
Q36,1.8431372549019607,2.9576050588178378,102,0.7254901960784313,0.44847072920363085
Q37,2.9405940594059405,2.4731428676007288,101,0.8811881188118812,0.325180833164296
Q38,1.4077669902912622,2.5874390897591004,103,0.7378640776699029,0.4419467860909849
Q39,0.009523809523809525,2.8705910611393324,105,0.5047619047619047,0.5023753102820165
Q40,0.38317757009345793,3.014571091282774,107,0.5794392523364486,0.4959721381700238
Q41,1.5794392523364487,2.5918500101372555,107,0.8317757009345794,0.37582566483328594
Q42,3.3168316831683167,2.1860040854001483,101,0.9207920792079208,0.2714099599068422
Q43,0.38613861386138615,2.6794413486012454,101,0.6534653465346535,0.47823934518934
Q44,2.08,2.8344204687977035,100,0.79,0.40936018074033237
Q45,2.339622641509434,2.570480008732222,106,0.8490566037735849,0.3596943895981084
Q46,-1.6545454545454545,2.931750779914556,110,0.2818181818181818,0.45194418308073964
Q47,1.9411764705882353,2.635716331931641,102,0.803921568627451,0.3989892101639066
Q48,0.17647058823529413,2.776891077010733,102,0.5882352941176471,0.4945833565373728
Q49,1.5436893203883495,2.7035804111930513,103,0.7864077669902912,0.41184628383379873
Q50,-0.8269230769230769,3.263336513127153,104,0.4326923076923077,0.49784824523147586
Q51,-1.14,3.1173026413192155,100,0.41,0.4943110704237103
Q52,1.392156862745098,2.729221637651967,102,0.7450980392156863,0.4379582354925196
Q53,3.018867924528302,2.5372693686435035,106,0.9056603773584906,0.293689239285741
Q54,0.009708737864077669,3.014654227339032,103,0.5728155339805825,0.4970884197114551
Q55,1.6407766990291262,3.20799970946419,103,0.6893203883495146,0.4650348123926881
Q56,2.235294117647059,2.625753906215253,102,0.8137254901960784,0.3912506516456217
Q57,2.0754716981132075,2.706950887754557,106,0.8113207547169812,0.39311230788765483
Q58,3.3300970873786406,2.0019027689585682,103,0.9611650485436893,0.19414620007023908
Q59,1.8113207547169812,3.1444984687460242,106,0.7641509433962265,0.42654507476774994
Q60,4.180952380952381,1.5113732445193955,105,0.9809523809523809,0.1373479845664612
Q61,-1.3047619047619048,3.3829999474857586,105,0.3619047619047619,0.482856275873249
Q62,1.4854368932038835,2.750629438374606,103,0.7475728155339806,0.4365292390077229
