,Empathy,Urgency,Des_Norm,Inj_Norm,Cost_S_H,Benefit_O_H,Reciprocity,Mood,Reputation,Pos_SelfConcept,Benefit_S_H,Cost_O_NH,Guilt,Neg_SelfConcept,Cost_S_NH,Other
S1,3.6153846153846154,2.3461538461538463,4.038461538461538,4.230769230769231,1.48,3.3076923076923075,3.9615384615384617,3.1923076923076925,2.3846153846153846,2.6923076923076925,2.769230769230769,1.8846153846153846,2.3846153846153846,2.5,2.1153846153846154,
S2,2.925925925925926,3.142857142857143,2.9285714285714284,3.0,2.9285714285714284,3.5357142857142856,3.5555555555555554,2.642857142857143,2.7857142857142856,2.8214285714285716,2.75,2.892857142857143,2.4642857142857144,2.3214285714285716,2.1785714285714284,"none; It's late and might not be safe to wait alone.; I would be more concerned about getting hurt in the process if the person woke up and misinterpreted the situation; no; I would worry that I was misinterpreting the situation, or that calling the police would make this person's situation worse somehow.; I don't think anyone should allow themselves to be in that situation in the first place, and if they are, I think that there is a serious issue that helping them this one time will not solve."
S3,4.107142857142857,4.5,4.0,4.25,1.75,4.285714285714286,4.571428571428571,3.0357142857142856,3.25,3.1785714285714284,2.9642857142857144,4.321428571428571,3.7142857142857144,3.25,3.142857142857143,"none; the risk that I mistook them for thieves and the police show up and shoot someone, or cause some other harm, would stop me from helping.the risk/guilt I would feel would prevent me from acting.; no; I would be worried I was misunderstanding or misinterpreting something. Like, what if it's just some kids playing a prank on their friends, and I call the cops and something bad happens to them? I would have to be very sure of what I was seeing.; I consider my own personal biases, i.e. if I'm accidentally profiling people. I don't want to call the police on people who don't deserve it, especially when that can come with deadly consequences in certain situations. "
S4,2.642857142857143,1.9642857142857142,2.892857142857143,2.892857142857143,2.357142857142857,2.962962962962963,2.888888888888889,2.25,1.8888888888888888,2.2142857142857144,2.3214285714285716,1.7857142857142858,1.8214285714285714,1.7142857142857142,1.6428571428571428,"I probably wouldn't help, they could just ask for directions. i don't want a stranger on my devices unless it's an emergency.; Ensuring that lending your phone is safe and that you’re comfortable with the person using it.; What will the negative impact be if the person runs away with my phone?; If I were to use my phone and look it up for them, that would be different and I would definitely help; What if I hand them my phone and they keep it. I mean I could just look it up for them without giving them my phone.; It's important that you are in a safe environment and are surrounded by many people. A friend did this and the person tried to run with her phone. It's hard to genuinely help people when we don't trust or know the other person's motives."
S5,4.142857142857143,3.5357142857142856,3.857142857142857,4.107142857142857,1.7142857142857142,4.142857142857143,4.535714285714286,3.1785714285714284,3.107142857142857,3.0,3.107142857142857,3.9642857142857144,3.2857142857142856,3.1785714285714284,2.642857142857143,no
S6,3.357142857142857,2.6785714285714284,3.4642857142857144,3.4285714285714284,1.4444444444444444,3.6785714285714284,3.9642857142857144,3.2857142857142856,2.6296296296296298,2.8518518518518516,2.75,2.4642857142857144,2.392857142857143,2.1481481481481484,2.0,"The demeanor of the person, are they being rude or aggressive in trying to get help?"
S7,4.407407407407407,4.037037037037037,4.037037037037037,4.185185185185185,1.8076923076923077,4.444444444444445,4.518518518518518,3.6296296296296298,3.2962962962962963,3.4444444444444446,3.185185185185185,3.8518518518518516,3.814814814814815,3.2962962962962963,2.888888888888889,I would hate myself if the blind person ended up tripping on one of the bricks or getting hit by a car.
S8,2.533333333333333,1.903225806451613,2.5483870967741935,2.5483870967741935,2.2333333333333334,2.870967741935484,2.8333333333333335,2.225806451612903,1.967741935483871,2.032258064516129,2.096774193548387,1.7741935483870968,1.935483870967742,1.8064516129032258,1.6774193548387097,"none that I can think of?; none; They could possibly go through the drive thru or go for a coffee somewhere else, they chose to ride the scooter there knowing they would need to park it ; There is no telling what will happen in those few minutes, and if something happened to the scooter I would be blamed. "
S9,4.444444444444445,4.814814814814815,4.592592592592593,4.592592592592593,2.3461538461538463,4.777777777777778,4.769230769230769,3.740740740740741,3.888888888888889,3.8461538461538463,3.5,4.518518518518518,4.222222222222222,3.923076923076923,3.6153846153846154,No.
S10,3.75,2.892857142857143,2.857142857142857,3.142857142857143,2.2222222222222223,3.4285714285714284,3.607142857142857,2.7857142857142856,2.962962962962963,3.0,2.7857142857142856,2.6785714285714284,2.642857142857143,2.185185185185185,2.074074074074074,"If someone I never knew lost their key to the building i would be too scared to let them in. Stranger Danger ; Doing something like that could be dangerous, it's near the same as picking up a hitchhiker, even if they are a neighbor and friendly, they could still canvas and scout what items you have, and being a neighbor it would be easy for them to know a schedule you're not home, here its too much of a risk. . ; How much I feel I can trust this person.; I wouldn't feel comfortable inviting a strange man into my home; no"
S11,3.0344827586206895,2.6551724137931036,2.896551724137931,2.9310344827586206,2.689655172413793,3.5357142857142856,3.392857142857143,2.6551724137931036,2.5714285714285716,2.4827586206896552,2.413793103448276,2.1379310344827585,1.9655172413793103,1.9655172413793103,1.9310344827586208,"Honestly, it's on the student to proofread their own work. Trying to outsource it seems lazy and possibly unethical since it's THEIR work to be graded. If anything they could agree to proofread a friend's in exchange, but asking for strangers to do it is not acceptable to me.; Consider whether you have the necessary expertise to proofread effectively and if you can allocate the time required; If I knew beforehand somehow, that the student really struggles in this area (writing), I would definitely be more inclined to help with proofreading.; I don't feel bad about not helping because the student is fully capable of proof reading it themselves. ; Well they might get a F if I help, if I'm not good at essays. I would rather them do it themselves than depend on me for the help.; First need to evaluate if me myself is even a good essay writer. That is an important factor to take in when trying to help someone else with their essay. If I know someone else in the group who is better at it than me, then I would probably not sign myself up for the task."
S12,4.793103448275862,4.862068965517241,4.413793103448276,4.482758620689655,2.2142857142857144,4.620689655172414,4.551724137931035,3.6206896551724137,3.7142857142857144,3.607142857142857,3.4827586206896552,4.448275862068965,4.344827586206897,3.7857142857142856,3.6785714285714284,"none; I'm internally assuming parker is nearby and hiding and hasn't been kidnapped or anything like that. For me it's a lot more likely a kid is being a kid and not being cognizant of how other people will feel if they wander off rather than it being a very dangerous situation. Also, I'm assuming plenty of people with families at the park will have much more empathy/willingness/experience and will be better equipped to help her.; The best option here is to call emergency services and have them assist the mother in her search.; no"
S13,4.071428571428571,3.107142857142857,3.6785714285714284,3.9642857142857144,1.7037037037037037,3.9285714285714284,4.035714285714286,3.25,2.814814814814815,3.037037037037037,3.142857142857143,2.607142857142857,2.7857142857142856,2.4074074074074074,2.185185185185185,"If the incident happened before precheck at TSA, or when my flight departs; He may be in poor health and can't lift his bags well; I would need to consider if I'd be late by stopping to help"
S14,3.8620689655172415,2.6,3.2666666666666666,3.466666666666667,2.466666666666667,3.533333333333333,3.5357142857142856,3.2333333333333334,3.1,3.1379310344827585,3.1379310344827585,2.2666666666666666,3.0,2.6551724137931036,2.4482758620689653,I try to always think about how I would want my elderly mother to be treated if in a similar situation.; no
S15,4.214285714285714,3.607142857142857,3.142857142857143,3.4285714285714284,2.642857142857143,3.5185185185185186,3.7777777777777777,2.9642857142857144,2.962962962962963,2.9642857142857144,3.2857142857142856,3.0714285714285716,2.7857142857142856,2.607142857142857,2.8214285714285716,Ive been in a situation where my landlord sold my apartment building and the new owner literally doubled the rent. So all the tenants (that had been there over 1 year which automatically changed to month to month leases) had to sign a new lease at the new rate or leave within a month. A protest wouldn't/doesn't help in those situations whatsoever. ; The broader effect of rent control on the community’s financial stability and quality of life.; We may get kicked out and be homeless after the protest.
S16,4.04,3.36,3.24,3.36,2.72,4.08,3.72,3.44,3.32,3.24,2.88,2.84,2.84,2.68,2.16,
S17,3.7142857142857144,3.2142857142857144,3.357142857142857,3.607142857142857,3.2142857142857144,3.6296296296296298,3.7037037037037037,3.0357142857142856,3.3333333333333335,3.0714285714285716,2.9642857142857144,3.1785714285714284,3.0714285714285716,2.9285714285714284,2.7142857142857144,"If I had extra food I would share, but in this scenario I only had enough for myself, so I would hope someone else had extra.;  The importance of sharing in a communal camping environment and ensuring others' well-being in a shared space."
