PROLIFIC_PID,Age,Sex,Gender,Ethnicity,Race,Education,Income,Race_recode,IRI_EC,IRI_F,IRI_PD,IRI_PT,SVO_degree,SVO_type,RR_total,BIS_total,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
Z6PMZ8UK,37,Male,Male,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,3.75,3.0,1.0,3.0,34.87532834460219,Prosocial,25,14,3.0,5.0,5.0,1.5,3.0
GTDAS4GM,37,Female,Female,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,4.5,4.75,3.75,4.5,32.9052429229879,Prosocial,29,24,2.5,4.5,5.0,3.0,5.0
AUXKJ27B,30,Male,Male,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,3.25,2.0,3.0,1.5,7.815293546766881,Individualist,21,23,1.5,2.5,2.0,5.0,4.0
QH026G52,51,Male,Male,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",White or Caucasian,4.0,2.5,2.25,4.0,7.815293546766881,Individualist,24,23,2.0,3.5,5.0,2.0,3.5
PI8SFZN8,44,Female,Female,No,Asian,Bachelor’s degree,"$75,000-$99,999",Asian,3.75,3.0,3.75,3.5,34.87532834460219,Prosocial,24,25,3.0,1.0,3.5,5.0,3.5
K5PTHLL6,25,Female,Female,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.75,4.75,3.75,4.75,7.467076640260333,Individualist,28,21,3.0,4.0,4.5,3.5,3.5
Q8XDAOE3,26,Female,Female,No,White or Caucasian,High school diploma or GED,"$50,000-$74,999",White or Caucasian,3.25,2.75,3.5,4.0,30.42906628717756,Prosocial,21,22,1.5,3.0,3.0,4.0,3.5
UB6T17K1,42,Female,Female,Yes,"White or Caucasian,Black or African American",Bachelor’s degree,"$75,000-$99,999",Multiracial,4.0,4.0,3.5,4.5,7.815293546766881,Individualist,27,26,1.5,4.0,3.0,4.0,4.0
KYJZ17O9,33,Male,Male,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,4.5,4.0,1.0,5.0,33.82208521749396,Prosocial,27,14,4.0,5.0,4.0,1.5,4.0
HV05PDE5,19,Male,Male,Yes,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,5.0,3.75,3.25,4.75,37.48241142771848,Prosocial,32,19,2.5,3.5,2.5,4.0,4.0
SSRJVJOA,30,Female,Female,No,Asian,Bachelor’s degree,"$150,000 or more",Asian,3.5,3.5,1.5,3.25,34.87532834460219,Prosocial,20,26,1.5,3.0,4.0,5.0,4.5
GL8A5W2X,30,Female,Female,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,3.25,3.25,2.25,4.5,28.477743008359536,Prosocial,25,15,3.0,4.5,4.0,1.0,4.0
FANFDTGF,54,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,5.0,3.0,2.0,4.75,18.94326306125152,Individualist,27,21,3.0,5.0,4.0,1.5,3.0
Z5Z01L14,52,Female,Female,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.25,2.0,2.5,3.5,34.87532834460219,Prosocial,32,18,4.5,2.0,4.5,3.0,4.5
STEVQFM7,28,Male,Male,Yes,Asian,Bachelor’s degree,"Less than $25,000",Asian,4.25,3.75,3.0,4.25,26.778840406955105,Prosocial,30,24,4.5,4.5,4.5,3.5,3.0
