,Scenario,Action,Label,Decision_x,Decision_y,WTH,Motivation_reward,Motivation_cost,Motivation_label,Semantic_x,Semantic_y,Semantic_label
S1,"You are doing your weekly grocery shopping in a large, sparsely populated store. You notice a person struggling to reach a can of tomato paste on the top shelf. They jump but fail to grab it. It's not high for you.",This person needs someone to grab the tomato paste,grab high item,-1.765045211,1.51477013,3.730769231,-0.145094487,-2.455841031,3,2.1539237,4.1573997,Commercial Area
S2,"Sunday, 1am - You were having a very nice drink with friends near home. There are still a few people in the bar, but you decide to head out. 
Outside is dark and cold. About 3 min walk from the bar, you saw a young man in a T-shirt lying on the ground, drunk a lot. He will likely catch a bad cold if no one helps. ","To help the drunk man, someone needs to stay here, call the police, and wait roughly 20 min until the police arrives.",report a drunk person,1.349625364,-0.96108567,0.067961165,-0.94494505,1.390400936,1,5.7968144,3.370692,Safety
S3,"9pm - You arrive early to meet with a friend at a local park. From your car, you notice three suspicious individuals attempting to climb a fence into a backyard. They have covered faces and might be thieves.","To reduce loss of the house owner, you can report the suspicious individuals to the police.",witness thief,0.366823041,1.434195525,2.154639175,0.890838431,-0.239670363,4,4.6839604,4.1143894,Crime
S4,"You are walking in the city center. Waiting for the traffic, you saw a young person looking around. This person is having difficulty connecting to the internet, but they need to look up for a restaurant. ",The person needs to use someone's phone for 10min to browse the restaurant website,lend phone,2.087645626,-3.272560097,-2.301886792,-1.763356812,-0.357930191,3,3.9157553,5.882032,Street Encounter
S5,"You just finish shopping and head to the parking lot. Suddenly, you hear a big crash – a SUV collide forcefully with a sedan. Luckily there’s nobody in the sedan. However, after a few seconds, the SUV driver drove away without getting off to check. You saw the plate number.","To help the sedan driver recover lost, the witness can put a note about the plate number to the sedan.",share testimony,-0.246953144,1.744877734,3.099009901,0.586377444,-0.502944065,4,4.263305,2.6034598,Mobility Prosociality
S6,"While walking in your local downtown area, you see a young backpacker, looking confused and asking people around for directions. You heard that the backpacker is heading to 25th street and is looking for a taxi. You know taxi is way more expensive than bus, and they can easily take a bus to the 25th street.",The backpacker can save some money if someone shares this info to them.,travel advice,-0.906754931,0.449841619,2.140186916,-0.500697548,-0.566961578,3,4.1678557,5.26282,Street Encounter
S7,"You are at an intersection waiting to cross the street. To your left, a blind person using a walking stick is waiting to cross in the other direction. The city’s construction has left little bricks and stones on the crosswalk. The traffic light turns green, but the blind person moves cautiously and slowly. ",The blind person wants someone to help them cross the street.,help blind cross street,-0.612622555,0.732273433,2.698113208,1.024485222,-0.124342887,4,4.6816545,2.9456098,Vulnerable Group
S8,"You are heading to a bank in downtown on a Monday late afternoon, while passing a Starbucks, you see a scooter rider wandering around, seems looking for something. You hear that the rider wants to buy a coffee at Starbucks but cannot find a good place to park the scooter, thus looking for someone to watch the scooter.",The scooter rider is looking for someone to watch the scooter for a few minutes.,watch one's scooter,1.860159123,-1.271375602,-0.431372549,-1.964787189,0.367534916,1,3.527578,5.068603,Street Encounter
S9,"It is a very humid summer day, you are heading towards lunch. The sun is burning, and the air is thick and oppressive. 
Ahead of you, you see someone walking slowly, even swaying. Suddenly, they collapse onto the ground, lying there. The person is dehydrated. ",The person needs someone to move them to a shadow place and buy some water from a nearby store.,help a faint person,-1.175617978,1.30649,3.111627907,1.74731265,0.571437232,2,6.401492,3.2273216,Safety
S10,"It's Friday evening, and you are lying on your couch, watching your favorite TV show. You love your spacious, safe, and quiet apartment. It's raining heavily outside.
From your apartment chat group, you see a middle-aged male resident you’ve never met misplaced his key and cannot enter. The locksmith is delayed by traffic due to the heavy rain. ",The resident wants to sit and wait for the locksmith (1 hour) at a neighbor's home.,offer a short stay for a neighbor,2.449812278,-1.661995862,-1.14953271,-0.699752844,1.08766142,1,5.1940985,6.8068757,Community Issues
S11,"You are chatting with friends online after dinner. Suddenly you see a new message from a community chat group “Hi there, I’m a high school student preparing a 2000 words final essay about climate change. I really want to get an A and need to make sure there’s no typo in my essay. Is anybody available to help read it through?”",The student wants someone to proofread their essay.,proofread essay,0.486410413,-2.238343992,-0.475728155,-1.216468154,0.866642101,1,3.0327785,6.9002066,Social Media Support
